bid,cover,title,author,publisher,abstract,price
45,https://up.bookresource.net/up/64/f6/a9/2b1a8fcffb132430c19870d9cfa9f664.jpg,小鸟游乐园(精),(日)立本伦子|译者,现代,立本伦子的《小鸟游乐园（精）》是一本适合4－6岁儿童阅读的绘本。森林的入口处住着一个小姑娘。一天，她在花丛中发现了一只从鸟巢里掉了下来的小鸟。小女孩把小鸟带回了家，百般呵护。可是妈妈说，等小鸟能飞的时候，就应该放它回森林。小女孩很舍不得，难过得流下了眼泪，究竟小鸟有没有回到属于自己的森林呢？,17.1
46,https://up.bookresource.net/up/21/0c/74/fc506eebe09867291b754a03ce740c21.jpg,教养的迷思,[美] 朱迪斯・哈里斯,上海译文出版社,"《教养的迷思》是乔治?米勒奖（美国心理学会颁予的杰出心理学作家奖）获奖者朱迪斯?哈里斯的代表作。
斯蒂芬?平克、查理?芒格、梁文道等皆推荐过这位与众不同的心理学作家。
传统心理学观点认为父母在对孩子的塑造中扮演着影响深远的角色，但是朱迪斯?哈里斯质疑这个传统观念。",15.1
47,https://up.bookresource.net/up/07/d0/c3/1495b5f854308cf61b57563541c3d007.jpg,叛逆不是孩子的错,（美）杰弗里?伯恩斯坦（Jeffrey Bernstein),机械工业出版社,"你正在因为孩子的叛逆而抓狂吗？？
孩子不听话，喜欢挑战你的权威和耐心
让他干什么偏不做，凡事都和你对着干
爱生气、情绪化、固执极端、粗鲁无礼",49.1
48,https://up.bookresource.net/up/4a/ef/c8/18e44c62b7783276bbde37073ec8ef4a.jpg,大忙人这样陪孩子，半小时胜过一整天,[英]雷?伯克博士 / [英]罗恩?赫伦 / [英]布丽奇特?巴恩斯,江苏教育出版社,"《大忙人这样陪孩子,半小时胜过一整天》内容简介：工作越来越忙，陪孩子的时间越来越少，孩子跟您越来越疏远，其实，只要掌握陪伴技巧，大忙人也能事半功倍，轻松教出乐观、自信的孩子。《大忙人这样陪孩子,半小时胜过一整天》专为大忙人设计，《大忙人这样陪孩子,半小时胜过一整天》的方法科学、简单、易操作。用这样的方法陪孩子，大忙人的陪伴质量立刻提升：1.每次只讲一件事，千万别跟孩子的气话较真：孩子说气话时，您一定要始终围绕主题进行教育。如果孩子真想和你谈点别的，那你可以让他在主要问题（即他的不当行为）谈完后再提出来。2.全家在一起时，多加点有趣、好玩的元素：当着家人的面表扬孩子，能轻松让孩子明白家人很看重他，这样，孩子会更乐意保持自己的好行为，即使没人“监控”，也能表现好。",40.7
49,https://up.bookresource.net/up/b7/b8/05/7803a638b3a28c0c59d0cf7e9805b8b7.jpg,中国幼儿教育史,杜成宪 / 王伦信,上海教育出版社,《中国幼儿教育史》内容简介：该教材由上海市教育委员会师资处组织编写，供幼儿园在职教师进修成人高等师范专科学前教育专业使用。设置幼儿园在职教师进修成人高等师范专科学前教育专业是以中国教育“面向现代化、面向世界、面向未来”为指导，旨在全面提高幼儿园教师的思想政治、职业道德、专业知识、教育理论、教育教学能力、教育教学研究能力等素质，建立一支适应二十一世纪基础教育改革发展和需要的新型的幼儿园师资队伍。,39.6
50,https://up.bookresource.net/up/72/3a/7f/20cd14202edbc4290a7acc204d7f3a72.jpg,如何活出生命的意义,［美］杰西?贝林,中国友谊出版公司,信仰是一种本能吗？《如何活出生命的意义》围绕人的心智模式的发展来解读，人不同于其他动物所具有的一些现象，如人为什么喜欢在大事前祈祷？人什么宁愿相信自己的亲人去世后是到了一个幸福的天堂？人们为何会具有这些信念？这些问题都是人的思维和意识的产物。而《如何活出生命的意义》，则是对于人的信念、信仰这一问题的科学的解读。本书要谈的不是宗教，也不是有神、无神的论辩，而是一场综合心理学、哲学与流行文化的盛宴。藉由贝林深刻而机智的引导，我们将获得关于人类脑部与心理机制的全新视野，同时开启一场新颖、有趣、充满智慧与幽默的思考旅程！,49.1
51,https://up.bookresource.net/up/c7/d8/18/196c47d3a1cf5359d9d51c6af118d8c7.jpg,石头剪刀布博弈心理学,[日]木瓜制造,湖南文艺出版社,"石头剪刀布并非纯碰运气的游戏。事实上，跟下棋或打“超级玛丽”一样，石头剪刀布也是一种靠策略、观察和智慧取胜的博弈。
博弈心理学已成为顶尖企业、顶尖人士经常采用的制胜的秘密武器，例如“三得利”忠实于博弈心理学，采用了“价格不变策略”，在自从有啤酒销售数据统计以来的第16年第一次在市场份额上成功超越札幌啤酒；日本的“软银集团”从零开始涉足移动通信业务，利用博弈心理学进行合理思考，采用了一系列积极进攻的手段，成功牵制了竞争对手――日本电信巨头DoCoMo。",53.2
52,https://up.bookresource.net/up/1d/e6/71/4d9ec54ffc0012615e6bc2595171e61d.jpg,登天的感觉：我在哈佛大学做心理咨询,岳晓东,北京联合出版公司,"【编辑推荐】
美国哈佛大学心理学博士岳晓东经典作品白金版
高校心理学系、国内心理咨询培训机构推荐必读书目
畅销20年，新增5万字内容
中国心理咨询师人人必读！",22.4
53,https://up.bookresource.net/up/65/4e/18/8366b75ce6ed74f7592c639a1c184e65.jpg,幼儿生理和心理发育的故事,王勇,人民邮电出版社,本书讲的是0到6岁幼儿生理和心理发育的故事。和世面上流行的家教育儿图书相比，这本书显得很特别。它不侧重传播爱心和技巧，而是带领读者走入幼儿的内心世界。,11.6
54,https://up.bookresource.net/up/14/26/f6/b1ea15d7f4d2e0bcd813e12ae0f62614.jpg,十分钟冥想,［英］安迪・普迪科姆（Andy Puddicombe),机械工业出版社,许多人听说过冥想的诸多益处，如减轻压力、抑郁和焦虑，提升专注力、记忆力和创造力，改善睡眠，戒掉各种瘾，缓解身体疼痛，增强免疫力等，而且这些益处都得到了科学的证明。,25.6
55,https://up.bookresource.net/up/56/df/05/283abf655ccbc3dc9f885ba7c405df56.jpg,心理自愈术,库埃,中华工商联合出版社,《心理自愈术:做自己的心理医生》是法国著名心理学家埃米尔?库埃的旷世之作，它不仅系统的介绍了不同类型的心理障碍产生的原因，而且还告知读者如何使用相应的方法来治愈我们内心的疾病。这是一本能切实帮你重塑自我、安顿身心的实用心理学书籍，它能够消除你内心的忧虑，满足你内心深处的渴望。《心理自愈术:做自己的心理医生》选取了生活中常见的自卑心理、自恋心理、抑郁心理、恐惧心理、焦虑心理、报复心理、强迫心理以及神经性设施障碍，分别从是什么、为什么、怎么样的方式，深入浅出地分析了心理障碍产生的原因以及自我治愈的方法，语言质朴平实，道理浅显易懂，方法简单易学，是不可多得的实用心理类书籍。,57.6
56,https://up.bookresource.net/up/09/48/75/1298504e6e6eafb83e7f6f9e38754809.jpg,游戏力:激发孩子内在的自信力,"[美]劳伦斯・科恩（Lawrence J. Cohen, Ph.D.）",军事谊文出版社,"本书的重点，是解决常见的行为问题，激发孩子内在的自信力，并重建父母与孩子间亲密沟通的桥梁。
游戏力，被很多人喻为亲子沟通的“双向翻译机”。",59.6
57,https://up.bookresource.net/up/ed/a5/64/5ec48542598c26448c06d28d8864a5ed.jpg,提高记忆的100种方法,王小军,中国法制出版社,记忆属于心理学的范畴，是人类进行思维、想象、逻辑推理等高级心理活动的基础，是心智活动的一种，与人类其他的心理活动有着密切的联系，能够让人们维持正常的学习、工作、社交、生活等基本机能。本书运用简洁生动的语言，结合生活实例，列举了100种提高记忆的方法，详细介绍了这些记忆方法的科学原理、运用方式，并穿插部分心理学实验案例。内容专业、丰富，具有较强的阅读性和出版价值。,56
58,https://up.bookresource.net/up/d6/d5/39/b334c60ae0e3f04ba767681aac39d5d6.jpg,教育+技术的跨界研究经验:学习的升级,（美）约翰?库奇 / （美）贾森?汤 / 栗浩洋,湛庐文化/浙江人民出版社,当下教育面临的最大问题之一，就是教育者仍然在用过时的、非数字时代的方式，去教育伴随数字化长大的孩子。所以，摆在教育者和家长面前最急迫的问题就是：如何利用技术和对学习的研究，去创造个性化学习体验，以更好地满足学生的需求。,51.2
59,https://up.bookresource.net/up/be/dd/25/e3a59bfbfa8d4cc8d3da3d0f9925ddbe.jpg,照亮孩子的未来:写给父母的未来之书,郝景芳 / 王立铭 / 童行学院,中信出版社,直击中国家长痛点，面向未来的家庭教育必备宝典！科技前瞻思维的教育家妈妈郝景芳、科学家爸爸王立铭，与童行学院携手钜献！杨澜、李开复、徐小平、刘慈欣、魏坤琳、吴军、陈忻重磅推荐！,12.6
60,https://up.bookresource.net/up/21/34/03/0b8fd11f76a8c28fc7b46c6b91033421.jpg,一流的教B,金武F / 南瓜夫人,如何出版社有限公司,"出版半年再刷200,000本！
日本Rd2016年H子教B籍1！
W者、大W教授推]！
■裼眠@55教B法，你的小孩L大後深深感恩！",59
61,https://up.bookresource.net/up/65/0a/4d/cd00081ef3d66381f7564043384d0a65.jpg,正面管教：如何赢得孩子与父母和老师的合作?,[美] 简・尼尔森,京华出版社,《正面管教》中告诉21世纪的父母和老师们：正面管教是一种既不惩罚也不娇纵的管教孩子的方法……孩子只有在一种和善而坚定的气氛中，才能培养出自律、责任感、合作以及自己解决问题的能力，才能学会使他们受益终身的社会技能和生活技能，才能取得良好的学业成绩……如何运用正面管教方法使孩子获得这种能力。,30.5
62,https://up.bookresource.net/up/da/d1/00/c2c2c9da1813430029f3e6be2300d1da.jpg,如何有效阅读,【日】藤原和博,北京联合出版公司,"无法识别哪些是有用的内容
一看书就犯困，买来的书从来没有打开过
不知道怎样安排自己的阅读时间",23.4
63,https://up.bookresource.net/up/a2/3f/36/bbbf675ec5690060412d5a21cb363fa2.jpg,“九型人格特别学习法”:所谓学习好，就是方法好,（日）坪田信贵,北京联合出版公司,高分励志热血电影《垫底辣妹》原作作者、角色老师原型坪田信贵，带你解密学习真相，从自我个性出发，以热情驱动学习动力，认识“知识的甜甜圈化现象”，掌握“学习PDCA循环”，以“九型人格特别学习法”，用学习改变人生。,53.1
64,https://up.bookresource.net/up/a0/93/5a/a2424777cd3e0673aa8132f91e5a93a0.jpg,学习天性,【日】小沼势矢,东方出版中心,"找不到适合自己的学习方法，盲目学习，再大的优势也会慢慢变为劣势。
本书作者小沼势矢是日本脑科学领域的专家，一生致力于研究大脑的构造，他提出“大脑分为三大类型，找准自己的大脑类型并使用相对应的学习方法，才能够事半功倍”。",18.5
65,https://up.bookresource.net/up/a0/a3/f2/220ed8bc632c3527d48c0c27f1f2a3a0.jpg,如何讨论,史蒂芬・D. 布鲁克菲尔德 / 史蒂芬・普莱斯基尔,中国青年出版社,"本书提供了50个最佳策略，让人们有目的地、充满激情地参与讨论，来帮助他们达成以下目标：
● 让学生、员工、听众、同事等全身心地参与到小组讨论和决策制订中。
● 提供主持会议的新方法，让参会者充满激情地参与讨论。",33.8
66,https://up.bookresource.net/up/97/ba/06/d755534e23ff9e2ab52bc62ba506ba97.jpg,写作力,高语罕,中国华侨出版社,《写作力》是一本向普通读者介绍如何学习文章写作及提高写作能力的书。本书以作者在上海平民女校的讲稿为基础，分为两个部分。第一个部分概述了文章写作中应注意的一般问题，如怎样选题、文章写作的禁忌、文章的美感、文章的精神和结构等；第二部分分别介绍了叙述文、描写文、解说文、论辩文的具体写法。,44.1
67,https://up.bookresource.net/up/25/80/cb/d088af2fea731dc719e56229b1cb8025.jpg,芬兰教育全球第一的秘密,陈之华,中国青年出版社,《芬兰教育全球第一的秘密(珍藏版)》作者长年旅居芬兰，身为两个孩子的家长，透过孩子的求学过程及亲身体验，实地探访芬兰学校、参与教学研习、回溯其历史及教育改革之路，收获很多……全书没有深奥的教育论述，没有教条式的文字，有的是发自内心的认同、感动及震撼！这不仅是一本对芬兰教育的透彻剖析，也是一本提供给忧心孩子未来的父母一个释放压力的出口！,21.1
68,https://up.bookresource.net/up/7c/35/03/593dcfdd8553ffbf3940a3f9d703357c.jpg,适合于低龄儿童的动手实践：科学本来很有趣,[美]赛・太蒙尼,北京时代华文书局有限公司; 第1版 (2019年5月1日),这本书原系列在美国销量超过30万册。作者赛・太蒙尼是一位经验丰富的科技作家，他擅长将晦涩难懂的科学原理用简单的实验操作展现在学生们面前，让人做过一次就不会忘记。本书图文并茂，每一个实验步骤都讲解详细，让你想不会都不行。在作者的笔下，我们不仅学到了基础的科学知识，还认识到了世界上各种各样有趣的事物，寓教于乐，家长和孩子可以一起学习，学得会还学不累！,17.1
69,https://up.bookresource.net/up/72/a8/3e/4d47e72718eb886d46b543f37d3ea872.jpg,跟阿德勒学育儿：不管教的勇气,岸见一郎,千寻・晨光出版社,百万畅销书作者岸见一郎最新著作，作者以阿德勒心理学知识为理论依据，用哲学的观点为我们讲述如何让孩子学会真正的独立、如何帮助孩子正确地面对学习、如何与孩子构建起更加融洽、和谐的亲子关系等。通过淡定坦然的不管教，为孩子赋予自我成长的勇气和动力。,40.1
70,https://up.bookresource.net/up/a2/3f/36/bbbf675ec5690060412d5a21cb363fa2.jpg,人生成功的必要条件是：所谓学习好就是方法好,（日）坪田信贵,北京联合出版公司,高分励志热血电影《垫底辣妹》原作作者、角色老师原型坪田信贵，带你解密学习真相，从自我个性出发，以热情驱动学习动力，认识“知识的甜甜圈化现象”，掌握“学习PDCA循环”，以“九型人格特别学习法”，用学习改变人生。,19.2
71,https://up.bookresource.net/up/b0/1b/73/2bea287466bac83486914a8030731bb0.jpg,如何用Kindle高效学习,直树桑,机械工业出版社,"数字时代高效学习指南，看Kindle如何变身移动学习神器。少数派、Tools指南、XMind、现象级英语、幕布、印象笔记、陈章鱼、使徒子、秋叶 、彭小六强烈推荐。
・如何选择适合自己的Kindle？
・如何快速找到Kindle优质读物？",25.4
72,https://up.bookresource.net/up/fc/37/60/c220c9fcd1d8c0869b818ea2f96037fc.jpg,读完一本书，却不记得讲什么？,芭芭拉?奥克利,机械工业出版社,读完一本书，却不记得讲什么？美剧看了一箩筐，英语还是没长进？公众号、指导书、牛人帖，一个都没落，却还是没有形成自己的学习体系？,32.9
73,https://up.bookresource.net/up/80/af/88/923edcddb2c23d28de13bdc45588af80.jpg,非常实用的写作课,叶开,广西师范大学出版社,文学博士、作家、《收获》杂志副编审叶开老师，以平实而不乏幽默的语言，在本书中为中学生和写作爱好者们上了10堂非常实用的写作课，指导大家如何在“深阅读”的基础上进行“创造性写作”。 10堂课，层层推进，步步深入：写些什么内容？如何开头和结尾？如何设置人物关系？如何修改和提升？又如何在短时间内提升写作能力？……写作类型涉及小说、说理性文章、叙事文、诗歌、评论性文章和书信，每章节结尾处均设置有“写作作业”环节。本书以叶开老师在上海平和双语学校为初三学生讲授写作课为原始素材，并因此融会了对学生习作的有针对性的讲解、点评。本书内容从讲授到实践，深入浅出，极富借鉴性、参与性。,30.8
74,https://up.bookresource.net/up/51/db/ea/b62e246c25d91836801fbd3471eadb51.jpg,每个人都应该学习一门语言的10个理由:如何高效学语言,[英]亚历克斯・罗林斯（Alex Rawlings）,机械工业出版社,"这是一本短小精悍的实用指南，将帮助你学习一门语言，并自信地使用这一语言进行沟通。它使用的技巧可以很容易地融入到你的日常生活中，同时利用你现有的任何资源。
无论你是从第一门外语开始，还是希望学会第二第三外语，都会在书中发现大量易于遵循的建议和可实现的目标，了解如何：
以更大的信心和准确性说话",58.2
75,https://up.bookresource.net/up/07/b4/6b/bc62489b20aab664eb727a1a0b6bb407.jpg,研究生完全求生手,彭明x,出版公司,"如何用e人的智慧解Q你的}！
《生命是L期而持m的累e》作者彭明x新作，教你掌握知Rr代的核心能力
彭明x〈Wg文I回c分析的程序c技巧〉，一篇震撼海{砂洞W的文章，W站c超^100f次！",11.9
76,https://up.bookresource.net/up/d1/02/99/287c139592bed704630de461ef9902d1.jpg,丰子恺漫画古诗文,丰子恺 绘 / 常迎春 评注,上海社会科学院出版社|青豆书坊,《丰子恺漫画古诗文》以诗文年代为序，分为六部分，辑录精选了一百四十余幅丰子恺先生的古典诗文漫画，并对这些古诗文进行了简要评注，使读者在欣赏丰子恺先生画作的同时，能了解其背后完整的古典诗文样貌，而在阅读古诗文的时候，可以通过丰子恺先生的画作体悟其中的意境趣味，图文相得益彰，妙趣纵横。,48.6
77,https://up.bookresource.net/up/6b/25/9a/a9a4ecea93e8e2c45a99839de89a256b.jpg,极速写作,剑飞,北京日报出版社,"内容简介 ・ ・ ・ ・ ・ ・
时间管理混乱、效率低下、写作时间长？那是因为你不会极速写作！
《极速写作》一书从理论开始，介绍了具体的技巧和方法，教你快速表达思维，提高写作速度，节约写作时间。
它不仅对职业写作者有用，也适用于电商、微商、媒体人、自媒体人、文案策划、广告人等需要写作的人。",12.5
78,https://up.bookresource.net/up/26/73/2d/202eeacb05141c6734a3f39dd02d7326.jpg,天然药物化学―医药高职高专教育系列教材,杨宏健,郑州大学出版社,《天然药物化学》是全国高职高专药学专业教材编审员会组织编写的高职高专药学专业教材之一。,54.7
79,https://up.bookresource.net/up/b6/b1/2c/5790fc8b80ec1db84f4146b9162cb1b6.jpg,学校教育心理学金河岩,金河岩,科学出版社,《学校教育心理学》是依据课改新要求，为提高师范生的教学能力，适应新课改而编写的高等师范院校公共课心理学教材，也可作为教育学院、教师进修学校的教学参考书和自学用书。,22.6
80,https://up.bookresource.net/up/3b/4a/f6/b36bd1170b903be0dc83226bc9f64a3b.jpg,与自己和解,[法] 一行禅师,河南文艺出版社,你是否已淡忘了童年的经历？但那些记忆会深藏于你的潜意识中，在潜移默化中影响你的一生。一次父母打骂、一场噩梦般的考试、被同龄人欺侮孤立……这些被淡忘的童年创伤，就是被你遗忘的内在小孩。,23
81,https://up.bookresource.net/up/7f/3d/94/ce8fe606e7e6174839ace05830943d7f.jpg,为未知而教 为未来而学,戴维・珀金斯 (David Perkins),浙江人民出版社,想象一种教育，其中的大部分课程都能带来全局性理解；想象一种学习，它能够给这样的理解带来生命力，使其长存，并且支持终生学习；想象一个世界，大部分人在接受基础教育之后，对基本的政治活动、个人健康护理、经济行为、生态责任、人际社会交往，以及其他许多概念充满了浓厚的兴趣并以此为发展方向。如果走在大街上的芸芸众生都能够灵活而敏捷地处理问题，那么，我们的社会该多么不一样！,24.9
82,https://up.bookresource.net/up/ff/35/69/b536913116abb3e8c774139eb46935ff.jpg,刻意观察,朱建国,中国友谊出版公司,从爱较真到“破罐子破摔”，从孤独成性到压力上瘾。本书讲述了那些左右你生活的心理学秘密，通过71个基本的行为逻辑，让你学会有效的观察方法，了解自己，看破他人。,17
83,https://up.bookresource.net/up/40/12/58/e7d838214c5acc4e34df718827581240.jpg,弹性,[美] 列纳德・蒙洛迪诺,中信出版,作为人类特有的一种能力，弹性思维往往是在无意识中推进的，并且可能是多条思路并行的，它不像分析性思维那样受到自上而下的直接指示，更多是受情感驱使，并将多元信息整合起来，从而找到应对挑战的新方法。它还会接纳一些非常规的，甚至是奇特的新想法，让我们释放更大的创造力。,29.9
84,https://up.bookresource.net/up/d4/43/97/0941158bad5196da8de433877f9743d4.jpg,大学的精神,蒲实/ 陈赛,中信出版社,"内容简介 ・ ・ ・ ・ ・ ・
无论在什么时代，“受教育”都是一个人最低成本的提升通道，而美国著名社会心理学家马斯洛将它总结为，“教育是让一个人 成为最好版本的自己。”",23.7
85,https://up.bookresource.net/up/b9/e5/91/ce9edfa258111fe2ccc475881691e5b9.jpg,记忆魔法师,袁文魁,北京联合,袁文魁作为六十多位世界记忆大师的教练，结合十余年的教学经验，以通俗易懂的方式，分享了记忆的方法。本书专注学习考试中的实用记忆法，传授学校老师常用的四种方法以及记忆魔法师的六种方法，同时还分享了在文章、单词、数字、文理科、考证等方面的应用方法及案例，可读性和实用性强。,51.3
86,https://up.bookresource.net/up/11/09/47/f4bd42b31455fe3a81db1982a7470911.jpg,子弹笔记术,杉野干人,中信出版集团,在工作中，越是复杂的项目，需要记录的事情越多，花费的时间自然也越多。如果使用传统笔记方法，规划将变成苦差事。子弹笔记术的核心是快速收集和处理信息，它可以帮助你找出什么是重要的，什么是可以放弃的。可以说，能否写好子弹笔记反映出一个人的思考能力、逻辑能力和表达能力。,17.4
87,https://up.bookresource.net/up/90/c2/1c/0faf9236e3e04b1c4bdebe1eb91cc290.jpg,搞定（全三册）,戴维?艾伦,中信出版社,"内容简介
搞定（全三册）包括：《搞定Ⅰ：无压工作的艺术》《搞定Ⅱ：提升工作与生活效率的52项原则》《搞定Ⅲ：平衡工作与生活的艺术》",53.7
88,https://up.bookresource.net/up/5e/9b/98/6124966eca3697c60b58e34bcd989b5e.jpg,文案创作完全手册,[美] 罗伯特・布莱 / Robert W.Bly,后浪丨北京联合出版公司,★ 畅销美国30年，资深广告人的超实用文案秘诀。8种标题、9种特质、11种方法，让你轻松学会文案技巧，像资深广告人一样写出热卖文案。各行业营销人员、广告人士、淘宝店主必读，让你的商品卖翻天！,36.1
